type,pair,dataset,subset_idx,D_f,hq_mean,corr,wavelet_corr,weight,tci_global,mci_global,fold_idx,tmci_value,tmci_global,tmci_std_cv
MFDFA_subset,,Planck_CMB_I-Stokes,21,1.206638654653103,0.8786254411736005,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,22,1.078145240804657,0.7933991356239722,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,23,1.2598157080637238,0.9192943995075347,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,24,1.2302822449045292,0.9124425197875994,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,25,1.0466443797721563,0.7601019704526839,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,26,1.2069891782189948,0.8770496435629505,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,27,1.1715544559348001,0.8670285290331485,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,28,1.164073616606409,0.8497266313063891,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,29,1.086240740808986,0.7952793724157763,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,30,1.1518172593470684,0.8497780277108614,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,31,1.1884372902533107,0.8802413723838064,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,32,1.3521695638046676,1.0237823846760974,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,33,1.0363830994379508,0.7598290529367562,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,34,1.1936538473286937,0.8779324125988502,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,35,1.157943766104375,0.8454831087182761,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,36,1.1933900366974939,0.8815259373238251,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,37,1.333753395989558,0.9902207376763226,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,38,1.1666131138446412,0.8562972405150001,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,39,1.013524578228317,0.7468029698035838,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,40,1.3865949729550495,1.0433490581727398,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,41,1.1914906978518562,0.8787592463164571,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,42,1.1541381628160472,0.8535241849054096,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,43,1.06337911395527,0.7692748667840288,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,44,1.3694741236288572,1.021566165091201,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,45,1.3072615121803732,0.9828223811698406,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,46,1.2003999907397154,0.8787281440868586,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,47,1.0862218243328041,0.7888162244124135,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,48,1.2311064126577604,0.9060232277637523,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,49,1.3355056172206383,0.9970522314015018,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,50,1.2473867853148544,0.917856878776246,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,51,1.083472634959539,0.7839756634957236,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,52,1.1266948813513296,0.8248740671918033,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,53,1.238537595847118,0.9076143023071336,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,54,1.1749697293630823,0.8691864779706162,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,55,1.2469345401708458,0.9237638789339941,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,56,1.0522401969117317,0.763059569839042,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,57,1.3464767455848792,1.005538251772392,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,58,1.1677381338383521,0.8571115467398875,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,59,1.2652187483692345,0.9451311062848333,,,,,,,,,
MFDFA_subset,,Planck_CMB_I-Stokes,60,1.1330057116310779,0.8252366791815486,,,,,,,,,
